Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
100023,"One Pucked Up Pack (Pucked Up Omegaverse, #1)",Sarah Blue,"Blue, Sarah",,"=""""","=""""",0,4.58,Bloomsbury Publishing,Paperback,614,2023,2023,,2024/12/02,,,read,,,,1,0
100024,Feathers So Vicious,Liv Zander,"Zander, Liv",,"=""7513338726""","=""9787513338722""",0,3.46,Sourcebooks Casablanca,Paperback,528,2018,2018,2025/05/15,2024/04/28,"dnf-maybe-later, read",,read,,,,1,1
100025,Shadows So Cruel,Liv Zander,"Zander, Liv",,"=""""","=""""",0,3.89,Avon,Kindle Edition,384,2019,2018,,2024/02/25,,,read,Absolutely devoured this. The tension!!,,,1,0
100026,"King of Wrath (Kings of Sin, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,3.72,Bloom Books,Audible Audio,320,2021,2021,2025/07/02,2024/03/13,,,read,,,,1,1
100027,"King of Pride (Kings of Sin, #2)",Ana Huang,"Huang, Ana",,"=""0468723430""","=""9780468723439""",0,3.47,Berkley,Paperback,,,,,2024/12/18,,,to-read,,,,0,0
100028,"King of Envy (Kings of Sin, #5)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,4.42,Bloomsbury Publishing,Mass Market Paperback,528,2018,2018,2025/01/19,2024/08/17,dark-romance,,read,,,,1,1
100029,Anathema,Keri Lake,"Lake, Keri",,"=""""","=""""",0,3.54,Sourcebooks Casablanca,Kindle Edition,384,2021,2020,,2024/02/22,,,read,,,,1,0
100030,"Spark of the Everflame (The Kindred's Curse Saga, #1)",Penn Cole,"Cole, Penn",Jane Cowriter,"=""1916998543""","=""9781916998545""",0,3.76,Berkley,Paperback,614,2023,2023,2025/04/09,2024/07/05,,,read,,,,2,1
100031,"Glow of the Everflame (The Kindred's Curse, #2)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,4.60,Bloomsbury Publishing,Mass Market Paperback,528,2022,2022,,2024/01/15,,,read,,,,1,0
100032,"Heat of the Everflame (The Kindred's Curse, #3)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,3.74,Avon,Mass Market Paperback,,2020,2020,2025/04/17,2024/05/05,"dark-romance, hockey-romance, read",,read,,,,1,1
100033,"The Ritual (LORDS, #1)",Shantel Tessier,"Tessier, Shantel",,"=""5980841241""","=""9785980841241""",0,3.73,Sourcebooks Casablanca,Kindle Edition,384,,,,2024/12/18,,,read,,,,1,0
100034,"The Sinner (LORDS, #2)",Shantel Tessier,"Tessier, Shantel",,"=""""","=""""",0,4.01,Berkley,Paperback,614,2020,2020,2025/12/11,2024/04/22,,,read,,,,1,1
100035,"The Sacrifice (LORDS, #3)",Shantel Tessier,"Tessier, Shantel",,"=""""","=""""",0,3.45,Berkley,Kindle Edition,448,2020,2020,,2024/02/21,,,to-read,,,,0,0
100036,Carnage,Shantel Tessier,"Tessier, Shantel",,"=""0427868011""","=""9780427868012""",3,3.77,Bloom Books,Paperback,384,2018,2018,2025/09/02,2024/06/19,dnf-maybe-later,,read,,,,1,1
100037,Madness,Shantel Tessier,"Tessier, Shantel",,"=""""","=""""",3,3.70,Bloomsbury Publishing,Hardcover,,2023,2022,,2024/06/07,,,read,,,,1,0
100038,We Are Legion: We Are Bob,Ray Porter,"Porter, Ray",,"=""""","=""""",2,4.30,Entangled: Red Tower Books,Kindle Edition,448,2022,2022,,2024/09/28,,,currently-reading,,,,0,1
100039,"Consider Me (Playing For Keeps, #1)",Becka Mack,"Mack, Becka",,"=""3602563421""","=""9783602563426""",4,3.67,Bloom Books,Audible Audio,448,,,,2024/01/28,,,read,,,,1,0
100040,"Play With Me (Playing For Keeps, #2)",Becka Mack,"Mack, Becka",,"=""""","=""""",0,3.79,Bloom Books,Paperback,384,2021,2021,2025/06/10,2024/04/08,"enemies-to-lovers, read",,read,,,borrowed from Kate — buy own copy,2,1
100041,"Unravel Me (Playing For Keeps, #3)",Becka Mack,"Mack, Becka",,"=""""","=""""",0,3.88,Bloom Books,Mass Market Paperback,614,2022,2021,,2024/05/12,,,read,,,,1,0
100042,"Fall With Me (Playing For Keeps, #4)",Becka Mack,"Mack, Becka",,"=""6014294019""","=""9786014294016""",0,4.58,Bloomsbury Publishing,Audible Audio,,2022,2022,2025/06/24,2024/06/14,,,read,,,,1,1
100043,Breathe With Me,Becka Mack,"Mack, Becka",,"=""""","=""""",0,4.25,Bloomsbury Publishing,Mass Market Paperback,412,2018,2018,,2024/10/07,,,to-read,,,,0,0
100044,Love and Other Killers,Brynne Weaver,"Weaver, Brynne",,"=""""","=""""",0,4.54,Berkley,Mass Market Paperback,448,2018,2018,2025/09/22,2024/12/24,fae,,read,,,,1,1
100045,Kingfisher's POV,Callie Hart,"Hart, Callie",,"=""0514846564""","=""9780514846568""",4,4.20,Avon,,448,,,,2024/03/07,,,read,,,,1,0
100046,Crush,Tracy Wolff,"Wolff, Tracy",,"=""""","=""""",0,4.06,Bloomsbury Publishing,Hardcover,412,2021,2021,2025/12/06,2024/10/19,,,read,,,,1,1
100047,Covet,Tracy Wolff,"Wolff, Tracy",,"=""""","=""""",0,4.34,Sourcebooks Casablanca,,,2021,2021,,2024/05/07,,,read,,,,1,0
100048,Court,Tracy Wolff,"Wolff, Tracy",,"=""6777387214""","=""9786777387218""",0,3.77,Bloom Books,Kindle Edition,384,2023,2023,2025/11/21,2024/10/11,"favorites-shelf, read",,read,,,,1,1
100049,Hexed,Emily McIntire,"McIntire, Emily",,"=""""","=""""",0,4.58,Sourcebooks Casablanca,Paperback,320,2019,2018,,2024/03/01,,,read,,,,1,0
100050,Caught Up (Paperback),Navessa Allen,"Allen, Navessa",,"=""""","=""""",0,4.24,Avon,Audible Audio,384,2023,2023,2025/08/14,2024/11/19,,,read,Absolutely devoured this. The tension!!,,,2,1
100051,"Lights Out (Into Darkness, #2)",Navessa Allen,"Allen, Navessa",,"=""4201632870""","=""9784201632878""",0,3.95,Bloom Books,Audible Audio,320,,,,2024/04/28,,,to-read,,,,0,0
100052,"The Ever King (Ever Seas Series, #1)",L.J. Andrews,"Andrews, L.J.",,"=""""","=""""",0,4.38,Sourcebooks Casablanca,Audible Audio,,2022,2022,2025/11/17,2024/09/20,"favorites-shelf, dnf-maybe-later",,read,,,,1,1
100053,"The Ever Queen (The Ever Seas, #2)",L.J. Andrews,"Andrews, L.J.",,"=""""","=""""",0,4.43,Avon,Hardcover,384,2023,2022,,2024/09/15,,,read,,,,1,0
100054,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""0348734714""","=""9780348734713""",0,3.58,Avon,,320,2019,2019,2025/05/11,2024/06/18,,,read,,,,1,1
100055,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",0,3.90,Berkley,Mass Market Paperback,384,2018,2018,,2024/03/23,,,read,,,,1,0
100056,The Crown of Gilded Bones,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",0,4.43,Bloom Books,Mass Market Paperback,614,2018,2018,2025/08/14,2024/01/07,"dnf-maybe-later, signed-copies, read",,read,,,,1,1
100057,"The War of Two Queens (Blood and Ash, #4)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""7705466889""","=""9787705466883""",0,3.73,Avon,Paperback,,,,,2024/08/08,,,read,,,,1,0
100058,"A Soul of Ash and Blood (Blood and Ash, #5)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",0,3.60,Avon,Kindle Edition,448,2023,2023,2025/07/11,2024/11/22,,,read,,,,1,1
100059,"The Primal of Blood and Bone (Blood and Ash, #6)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""""",0,4.11,,Paperback,320,2021,2021,,2024/10/18,,,to-read,,,,0,0
100060,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,"Asher, Lauren",Jane Cowriter,"=""2627204653""","=""9782627204657""",0,4.30,Bloomsbury Publishing,Hardcover,448,2018,2018,2025/06/11,2024/07/09,"fae, dark-romance",,read,,,,2,1
100061,"Terms and Conditions (Dreamland Billionaires, #2)",Lauren Asher,"Asher, Lauren",,"=""""","=""""",0,3.45,Bloomsbury Publishing,Kindle Edition,320,2023,2022,,2024/04/21,,,read,,,,1,0
100062,"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,"Asher, Lauren",,"=""""","=""""",0,3.69,Avon,,,2019,2019,2025/04/27,2024/01/20,,,read,,,,1,1
100063,This Will Be Fun,E.B. Asher,"Asher, E.B.",,"=""0193745299""","=""9780193745291""",0,4.09,Berkley,Mass Market Paperback,320,,,,2024/03/10,,,read,,,,1,0
100064,Empire of Flame and Thorns,Marion Blackwood,"Blackwood, Marion",,"=""""","=""""",0,4.40,Entangled: Red Tower Books,Paperback,528,2023,2023,2025/11/13,2024/07/23,"dark-romance, read",,read,,,,1,1
100065,Throne of Ice and Blood,Marion Blackwood,"Blackwood, Marion",,"=""""","=""""",0,4.12,Bloomsbury Publishing,Mass Market Paperback,412,2023,2022,,2024/12/25,,,read,,,,1,0
100066,"Court of Lies and Deceit (Flame and Throns, #3)",Marion Blackwood,"Blackwood, Marion",,"=""1586518506""","=""9781586518507""",0,3.58,Entangled: Red Tower Books,,448,2023,2023,2025/02/14,2024/06/21,,,read,,,,1,1
100067,"Realm of Wind and Vines (Flame and Throns, #4)",Marion Blackwood,"Blackwood, Marion",,"=""""","=""""",0,4.14,Sourcebooks Casablanca,Audible Audio,,2020,2020,,2024/09/21,,,to-read,,,,0,0
100068,"Long Live Evil (Time of Iron, #1)",Sarah Rees Brennan,"Brennan, Sarah Rees",,"=""""","=""""",0,4.46,Entangled: Red Tower Books,Audible Audio,320,2020,2020,2025/08/14,2024/12/19,"fae, hockey-romance",,read,,,,1,1
100069,The Serpent and the Wings of Night,Carissa Broadbent,"Broadbent, Carissa",,"=""0316580791""","=""9780316580799""",0,3.80,Avon,Hardcover,448,,,,2024/10/22,,,currently-reading,,,,0,0
100070,The Ashes and the Star-Cursed King,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,3.74,Sourcebooks Casablanca,,412,2020,2020,2025/03/16,2024/04/12,,,read,,,,2,1
100071,"Slaying the Vampire Conqueror (Crowns of Nyaxia, #0)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.54,Bloomsbury Publishing,Kindle Edition,320,2022,2022,,2024/05/18,,,read,,,,1,0
100072,"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,"Carlton, H.D.",,"=""0678377701""","=""9780678377704""",0,3.97,Sourcebooks Casablanca,Hardcover,,2020,2020,2025/04/13,2024/12/08,"enemies-to-lovers, signed-copies, read",,read,,,,1,1
100073,"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,"Carlton, H.D.",,"=""""","=""""",0,3.82,Avon,Hardcover,528,2020,2019,,2024/07/24,,,read,,,,1,0
100074,"Keep Me (Sinful Manor, #1)",Sara Cate,"Cate, Sara",,"=""""","=""""",0,3.78,,Mass Market Paperback,614,2019,2019,2025/05/09,2024/04/04,,,read,,,,1,1
100075,"Heartless Hunter (Crimson Moth, #1)",Kristen Ciccarelli,"Ciccarelli, Kristen",,"=""3337498941""","=""9783337498943""",0,3.62,Bloomsbury Publishing,,412,,,,2024/05/08,,,to-read,Absolutely devoured this. The tension!!,,,0,0
100076,"Rebel Witch (Crimson Moth, #2)",Kristen Ciccarelli,"Ciccarelli, Kristen",,"=""""","=""""",0,4.53,,Audible Audio,412,2023,2023,2025/09/05,2024/05/02,signed-copies,,read,,,,1,1
100077,"Five Broken Blades (The Broken Blades, #1)",Mai Corland,"Corland, Mai",,"=""""","=""""",0,4.09,Avon,Audible Audio,,2018,2017,,2024/02/28,,,read,,,,1,0
100078,"Wolf Gone Wild (Stay a Spell, #1)",Juliette Cross,"Cross, Juliette",,"=""8520471167""","=""9788520471161""",0,4.37,Berkley,Paperback,384,2019,2019,2025/10/21,2024/11/02,,,read,,,,1,1
100079,Credence,Penelope Douglas,"Douglas, Penelope",,"=""""","=""""",0,4.13,Bloom Books,Mass Market Paperback,528,2021,2021,,2024/04/04,,,read,,,,1,0
100080,First Lie Wins,Ashley Elston,"Elston, Ashley",,"=""""","=""""",0,3.77,Sourcebooks Casablanca,Paperback,528,2021,2021,2025/04/25,2024/09/13,"dnf-maybe-later, fae, read",,read,,,borrowed from Kate — buy own copy,2,1
100081,Amid Clouds and Bones,Ella Fields,"Fields, Ella",,"=""0913341232""","=""9780913341238""",0,3.89,,Mass Market Paperback,320,,,,2024/02/06,,,read,,,,1,0
100082,"One Dark Window (The Sheperd King, #1)",Rachel Gillig,"Gillig, Rachel",,"=""""","=""""",0,4.25,,Audible Audio,,2020,2020,2025/08/10,2024/01/08,,,read,,,,1,1
100083,"Two Twisted Crowns (The Sheperd King, #2)",Rachel Gillig,"Gillig, Rachel",,"=""""","=""""",0,4.35,,Mass Market Paperback,384,2020,2020,,2024/02/22,,,to-read,,,,0,0
100084,Bloody Black,Rhiannon Hargadon,"Hargadon, Rhiannon",,"=""4618324210""","=""9784618324212""",0,3.76,Avon,Hardcover,448,2023,2023,2025/05/20,2024/12/27,"dnf-maybe-later, dark-romance",,read,,,,1,1
100085,"Quicksilver (Fae & Alchemy, #1)",Callie Hart,"Hart, Callie",,"=""""","=""""",0,3.50,Bloomsbury Publishing,Audible Audio,448,2021,2020,,2024/09/18,,,read,,,,1,0
100086,"Brimstone (Fae & Alchemy, #2)",Callie Hart,"Hart, Callie",,"=""""","=""""",0,3.67,,Mass Market Paperback,320,2018,2018,2025/12/11,2024/10/09,,,read,,,,1,1
100087,Older,Jennifer Hartman,"Hartman, Jennifer",,"=""1490278742""","=""9781490278749""",0,4.38,Bloomsbury Publishing,Audible Audio,,,,,2024/07/21,,,read,,,,1,0
100088,"Bride (Bride, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,3.89,Avon,Hardcover,384,2020,2020,2025/06/14,2024/06/11,"favorites-shelf, read",,read,,,,1,1
100089,"Mate (Bride, #2)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,3.95,Berkley,Hardcover,528,2018,2017,,2024/11/13,,,read,,,,1,0
100090,Deep End (Whet),Ali Hazelwood,"Hazelwood, Ali",Jane Cowriter,"=""0516808760""","=""9780516808763""",0,3.93,Bloomsbury Publishing,Kindle Edition,448,2023,2023,2025/09/12,2024/10/25,,,read,,,,2,1
100091,Not In Love,Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,3.93,,Audible Audio,384,2020,2020,,2024/05/18,,,to-read,,,,0,0
100092,"The Striker (Gods of the Game, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,3.77,Bloomsbury Publishing,Mass Market Paperback,,2019,2019,2025/02/01,2024/11/20,enemies-to-lovers,,read,,,,1,1
100093,"The Defender (Gods of the Dame, #2)",Ana Huang,"Huang, Ana",,"=""7131712748""","=""9787131712744""",0,4.58,Entangled: Red Tower Books,Audible Audio,448,,,,2024/07/27,,,read,,,,1,0
100094,Cruel Beauty,Dana Isaly,"Isaly, Dana",,"=""""","=""""",0,4.30,Entangled: Red Tower Books,Paperback,528,2022,2022,2025/09/05,2024/07/07,,,read,,,,1,1
100095,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"James, E.L.",,"=""""","=""""",0,4.52,Sourcebooks Casablanca,Hardcover,448,2020,2020,,2024/05/25,,,read,,,,1,0
100096,"Fifty Shades Darker (Fifty Shades of Grey, #2)",E.L. James,"James, E.L.",,"=""1449972787""","=""9781449972785""",0,4.09,Entangled: Red Tower Books,Audible Audio,614,2019,2019,2025/06/18,2024/09/13,"fae, hockey-romance, read",,read,,,,1,1
100097,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,"James, E.L.",,"=""""","=""""",0,3.97,Bloom Books,Audible Audio,,2023,2022,,2024/01/11,,,read,,,,1,0
100098,"Grey (Fifty Shades, #4)",E.L. James,"James, E.L.",,"=""""","=""""",0,3.55,Sourcebooks Casablanca,Hardcover,448,2018,2018,2025/07/22,2024/11/05,,,read,,,,1,1
100099,"A Curse Carved in Bone (Sage of the Unfated, #2)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0171870262""","=""9780171870261""",0,3.81,,Audible Audio,412,,,,2024/08/26,,,to-read,,,,0,0
100100,A Fate Inked in Bone,Danielle L. Jensen,"Jensen, Danielle L.",,"=""""","=""""",0,4.54,,,528,2021,2021,,2024/11/03,"favorites-shelf, enemies-to-lovers",,currently-reading,Absolutely devoured this. The tension!!,,,0,1
100101,Say You'll Remember Me,Abby Jimenez,"Jimenez, Abby",,"=""""","=""""",0,4.14,Entangled: Red Tower Books,,528,2018,2017,,2024/08/28,,,read,,,,1,0
100102,"Gild (The Plated Prisoner, #1)",Raven Kennedy,"Kennedy, Raven",,"=""5316117240""","=""9785316117240""",0,3.85,Entangled: Red Tower Books,Kindle Edition,,2020,2020,2025/06/26,2024/01/10,,,read,,,,1,1
100103,"Glint (The Plated Prisoner, #2)",Raven Kennedy,"Kennedy, Raven",,"=""""","=""""",0,4.35,Entangled: Red Tower Books,Kindle Edition,528,2023,2023,,2024/09/14,,,read,,,,1,0
100104,"Gold (The Plated Prisoner, #5)",Raven Kennedy,"Kennedy, Raven",,"=""""","=""""",0,3.68,,Hardcover,528,2019,2019,2025/02/20,2024/07/20,"dnf-maybe-later, read",,read,,,,1,1
100105,"Goldfinch (The Plated Prisoner, #6)",Raven Kennedy,"Kennedy, Raven",,"=""8407482175""","=""9788407482179""",0,4.23,Avon,Hardcover,448,,,,2024/05/21,,,read,,,,1,0
100106,"Wolfsong (Green Creek, #1)",TJ Klune,"Klune, TJ",,"=""""","=""""",0,4.09,Sourcebooks Casablanca,Hardcover,384,2021,2021,2025/04/13,2024/08/04,,,read,,,,1,1
100107,Den of Vipers,K.A. Knight,"Knight, K.A.",,"=""""","=""""",0,4.57,,Audible Audio,,2018,2018,,2024/12/10,,,to-read,,,,0,0
100108,Fairydale,Veronica Lancet,"Lancet, Veronica",,"=""0409097439""","=""9780409097435""",0,4.41,,Paperback,614,2023,2023,2025/04/21,2024/04/20,"enemies-to-lovers, favorites-shelf",,read,,,,1,1
100109,"Her Soul to Take (Souls Trilogy, #1)",Harley Laroux,"Laroux, Harley",,"=""""","=""""",0,4.35,Bloomsbury Publishing,Mass Market Paperback,320,2020,2019,,2024/11/21,,,read,,,,1,0
100110,"Assistant to the Villain (Assistant to The Villain, #1)",Hannah Nicole,"Nicole, Hannah",,"=""""","=""""",0,4.30,Entangled: Red Tower Books,Kindle Edition,412,2020,2020,2025/06/24,2024/03/03,,,read,,,,2,1
100111,"Apprentice to the Villain (Assistant to The Villain, #2)",Hannah Nicole,"Nicole, Hannah",,"=""3858842474""","=""9783858842475""",0,3.57,Entangled: Red Tower Books,,320,,,,2024/02/15,,,read,,,,1,0
100112,"Accomplice to the Villain (Assistant to The Villain, #3)",Hannah Nicole,"Nicole, Hannah",,"=""""","=""""",0,3.72,Bloomsbury Publishing,Audible Audio,,2018,2018,2025/12/22,2024/07/28,"dark-romance, dnf-maybe-later, read",,read,,,,1,1
100113,"Blood of Hercules (Villians of Lore, #1)",Jasmine Mas,"Mas, Jasmine",,"=""""","=""""",0,3.71,Avon,,614,2023,2022,,2024/06/22,,,read,,,,1,0
100114,"Bonds of Hercules (Villians of Lore, #2)",Jasmine Mas,"Mas, Jasmine",,"=""6137098593""","=""9786137098591""",0,3.89,Entangled: Red Tower Books,Paperback,412,2023,2023,2025/11/27,2024/08/23,,,read,,,,1,1
100115,"Distance (Beneath the Mask, #1)",Luna Mason,"Mason, Luna",,"=""""","=""""",0,3.52,Sourcebooks Casablanca,Kindle Edition,448,2018,2018,,2024/01/10,,,to-read,,,,0,0
100116,"Beneath the Stars (Sugerlake, #1)",Emily McIntire,"McIntire, Emily",,"=""""","=""""",0,4.46,,Paperback,614,2019,2019,2025/07/15,2024/06/22,"signed-copies, enemies-to-lovers",,read,,,,1,1
100117,"Hooked (Never After, #1)",Emily McIntire,"McIntire, Emily",,"=""0796405377""","=""9780796405373""",0,4.58,Berkley,Mass Market Paperback,,,,,2024/06/04,,,read,,,,1,0
100118,Scarred,Emily McIntire,"McIntire, Emily",,"=""""","=""""",0,4.56,Bloom Books,Audible Audio,412,2019,2019,2025/11/12,2024/01/13,,,read,,,,1,1
100119,Leave Me Behind,K.M. Moronova,"Moronova, K.M.",,"=""""","=""""",0,4.17,Bloomsbury Publishing,Paperback,384,2023,2023,,2024/02/22,,,read,,,,1,0
100120,The Final Rose,Amy Oliveira,"Oliveira, Amy",Jane Cowriter,"=""6329318393""","=""9786329318393""",0,4.05,Bloom Books,Kindle Edition,384,2019,2019,2025/06/25,2024/03/26,"fae, read",,read,,,borrowed from Kate — buy own copy,2,1
100121,"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,"Parker, Sarah A.",,"=""""","=""""",0,3.42,Bloom Books,Kindle Edition,320,2019,2018,,2024/02/22,,,read,,,,1,0
100122,"Court of the Vampire Queen (Bloodline Vampires, #1)",Katee Robert,"Robert, Katee",,"=""""","=""""",0,3.46,,Audible Audio,,2020,2020,2025/10/11,2024/01/06,,,read,,,,1,1
100123,"Divine Rivals (Letters of Enchantment, #1)",Rebecca Ross,"Ross, Rebecca",,"=""0008671680""","=""9780008671688""",0,3.97,Bloom Books,Hardcover,320,,,,2024/02/24,,,to-read,,,,0,0
100124,Ruthless Rivals,Rebecca Ross,"Ross, Rebecca",,"=""""","=""""",0,4.34,Bloom Books,,320,2023,2023,2025/09/19,2024/02/15,signed-copies,,read,,,,1,1
100125,Enigma,Runyx Runyx,"Runyx, Runyx",,"=""""","=""""",0,4.56,Bloomsbury Publishing,Audible Audio,448,2023,2022,,2024/09/10,,,read,Absolutely devoured this. The tension!!,,,1,0
100126,Blood and Steel,Helen Scheuerer,"Scheuerer, Helen",,"=""0661771159""","=""9780661771152""",0,4.06,Berkley,Audible Audio,614,2022,2022,2025/02/05,2024/05/20,,,read,,,,1,1
100127,Vows and Ruins,Helen Scheuerer,"Scheuerer, Helen",,"=""""","=""""",0,3.94,Sourcebooks Casablanca,Audible Audio,,2020,2020,,2024/10/17,,,read,,,,1,0
